date;gforce;speed;AccX;AccY;AccZ;GyroX;GyroY;GyroZ
12/02/2020 11:19:27;1;96;0.41;-0.53;1.51;-74.63;-4.80;-6.30
12/02/2020 11:19:29;1;96;0.79;-0.53;1.71;-74.26;3.25;-1.18
12/02/2020 11:19:30;1;90;0.68;-0.20;1.63;-74.26;2.98;6.76
12/02/2020 11:19:32;1;96;0.73;-0.12;1.54;-74.14;-5.22;-7.10
12/02/2020 11:19:33;2;95;0.73;-0.40;2.10;-74.26;-5.89;-3.04
12/02/2020 11:19:35;1;94;0.44;-0.51;1.16;-74.26;-4.67;-1.21
12/02/2020 11:19:36;1;93;0.62;-0.27;1.42;-74.26;-5.63;-7.01
12/02/2020 11:19:37;1;92;0.71;-0.45;1.33;-74.02;3.71;-0.71
12/02/2020 11:19:39;1;93;0.84;-0.34;1.34;-73.89;19.30;-10.74
12/02/2020 11:19:40;1;92;0.88;-0.25;1.71;-73.89;-18.94;-0.37
12/02/2020 11:19:42;1;92;0.65;-0.22;1.85;-73.77;-2.59;-0.43
12/02/2020 11:19:43;1;92;0.85;-0.20;1.60;-73.65;10.46;-11.02
12/02/2020 11:19:45;1;91;0.89;-0.40;1.42;-73.65;10.24;-0.61
12/02/2020 11:19:46;1;91;0.61;-0.21;1.59;-73.28;7.47;6.88
12/02/2020 11:19:47;1;91;0.55;-0.48;1.56;-73.40;-9.16;-2.74
12/02/2020 11:19:49;1;93;0.53;-0.41;1.32;-73.40;3.96;6.63
12/02/2020 11:19:50;1;94;0.53;-0.30;1.70;-73.40;2.25;5.00
12/02/2020 11:19:52;1;96;0.41;-0.41;1.34;-72.92;-3.50;-2.79
12/02/2020 11:19:53;1;97;0.47;-0.53;1.37;-73.04;0.57;6.42
12/02/2020 11:19:55;1;101;0.41;-0.54;1.74;-73.04;-7.10;-7.31
12/02/2020 11:19:56;1;100;0.50;-0.25;1.71;-72.92;14.56;16.95
12/02/2020 11:19:57;1;100;0.63;-0.42;1.23;-73.04;5.25;6.48
12/02/2020 11:19:59;1;100;0.89;-0.47;1.40;-72.55;-15.07;-15.98
12/02/2020 11:20:00;1;100;0.72;-0.29;1.51;-72.79;5.00;9.33
12/02/2020 11:20:02;2;101;0.97;-0.25;2.23;-72.67;3.88;0.66
12/02/2020 11:20:03;1;101;0.64;-0.38;1.37;-72.43;0.22;-2.51
12/02/2020 11:20:05;1;102;0.60;-0.10;1.54;-72.43;-1.46;0.47
12/02/2020 11:20:06;1;101;0.51;-0.24;0.94;-72.55;0.59;2.76
12/02/2020 11:20:07;1;100;0.56;-0.38;1.68;-72.18;7.58;9.92
12/02/2020 11:20:09;1;99;0.97;-0.09;1.60;-72.18;-4.61;-11.87
12/02/2020 11:20:10;1;98;0.94;-0.19;1.34;-72.06;-23.26;1.35
12/02/2020 11:20:12;2;97;0.85;-0.21;1.86;-72.18;4.14;0.36
12/02/2020 11:20:13;1;97;0.68;-0.48;1.56;-71.82;-4.04;-4.44
12/02/2020 11:20:15;1;97;0.63;-0.22;1.36;-71.57;-2.34;-13.18
12/02/2020 11:20:16;1;95;0.74;-0.19;1.47;-71.82;1.05;-0.31
12/02/2020 11:20:17;1;95;0.74;-0.46;1.68;-71.57;13.78;-1.56
12/02/2020 11:20:19;1;94;0.79;-0.23;1.67;-71.82;10.22;-1.95
12/02/2020 11:20:20;1;93;0.62;-0.01;1.41;-71.45;2.68;0.66
12/02/2020 11:20:22;1;90;0.64;-0.29;1.58;-71.45;1.80;3.90
12/02/2020 11:20:23;0;88;0.24;-0.45;0.69;-71.57;-2.18;-1.31
12/02/2020 11:20:25;1;85;0.38;-0.26;1.67;-71.33;-5.47;-7.20
12/02/2020 11:20:26;1;83;0.52;-0.10;1.54;-71.08;-0.65;-1.41
12/02/2020 11:20:27;1;80;0.71;0.04;1.76;-71.08;-2.19;-0.18
12/02/2020 11:20:29;1;69;0.71;0.01;1.62;-70.84;-1.68;-2.56
12/02/2020 11:20:30;1;62;0.38;0.01;1.75;-70.84;2.72;2.31
12/02/2020 11:20:32;1;50;0.55;-0.37;1.56;-70.84;-0.03;2.00
12/02/2020 11:20:33;1;45;0.65;-0.21;1.87;-70.60;-1.56;-0.25
12/02/2020 11:20:35;1;46;0.60;-0.34;1.65;-70.84;0.49;1.15
12/02/2020 11:20:36;1;46;0.57;-0.40;1.56;-70.47;-2.38;-2.69
12/02/2020 11:20:37;1;46;0.58;-0.36;1.36;-70.35;-1.13;2.65
12/02/2020 11:20:39;2;46;0.76;-0.15;2.06;-70.35;1.82;8.41
12/02/2020 11:20:40;1;47;0.69;-0.26;1.15;-70.35;-3.82;-11.61
12/02/2020 11:20:42;1;46;0.53;-0.35;1.69;-70.35;0.11;-3.91
12/02/2020 11:20:43;1;46;0.61;-0.11;1.64;-70.11;8.53;12.38
12/02/2020 11:20:45;1;46;0.51;-0.44;1.64;-69.86;3.27;5.50
12/02/2020 11:20:46;1;46;0.59;-0.46;1.82;-70.11;-2.62;-2.12
12/02/2020 11:20:47;1;46;0.38;-0.44;1.27;-69.98;-2.32;-0.18
12/02/2020 11:20:49;1;46;0.52;-0.24;1.28;-69.74;-2.76;-0.82
12/02/2020 11:20:50;1;46;0.46;-0.31;1.22;-69.50;-1.62;-3.53
12/02/2020 11:20:52;1;46;0.63;-0.56;1.71;-69.13;-9.58;-7.19
12/02/2020 11:20:53;1;46;0.64;-0.50;1.73;-69.50;-5.27;-1.16
12/02/2020 11:20:55;1;48;0.50;-0.29;1.43;-69.37;5.50;5.82
12/02/2020 11:20:56;1;49;0.57;-0.42;1.30;-69.13;3.43;5.90
12/02/2020 11:20:57;1;50;0.61;-0.27;1.50;-69.13;3.54;6.59
12/02/2020 11:20:59;1;52;0.47;-0.22;1.49;-69.13;4.37;7.84
12/02/2020 11:21:00;1;52;0.42;-0.33;1.47;-69.01;2.40;5.56
